Other
Democrats are the problem
It's a societal decline problem
Other - policy
This is because of mental health
Protect gun rights
This is because of trans/woke ideology
This is because of social media
This is a sign of moral and religious decay
remove
Be tough on crime
Need stricter gun control
Gun control laws don't work
This is because of bullying
Republicans are the problem
Miscellaneous questions
Parents are the problem
Policy - other
Violence is the problem
The state spends too much
This is a rare event
We don't have enough data
Big government is the problem
This is a tragedy
Protect schools
