,Great deal,Fair amount,Not much,Not at all,No opinion
,%,%,%,%,%
2019 Aug 15-30 ^,32,33,22,12,*
2013 Sep 17-18,37,29,17,15,3
2011 Jan 14-16 ^,42,35,16,6,2
