,Great deal,Fair amount,Not much,Not at all,No opinion
,%,%,%,%,%
2019 Aug 15-30 ^,48,21,16,14,1
2013 Sep 17-18,40,21,16,20,3
2011 Jan 14-16 ^,46,19,16,18,1
