,Great deal,Fair amount,Not much,Not at all,No opinion
,%,%,%,%,%
2019 Aug 15-30 ^,34,24,24,17,1
2013 Sep 17-18 #,18,19,30,28,6
2011 Jan 14-16 ^#,19,25,29,25,3
