,Great deal,Fair amount,Not much,Not at all,No opinion
,%,%,%,%,%
2019 Aug 15-30 ^,55,28,12,4,*
2013 Sep 17-18,48,32,11,8,2
2011 Jan 14-16 ^,48,30,11,8,3
