,Great deal,Fair amount,Not much,Not at all,No opinion
,%,%,%,%,%
2019 Aug 15-30 ^,25,23,26,26,*
2013 Sep 17-18,32,24,23,20,2
2011 Jan 14-16 ^,31,27,26,15,2
